case_name,total_duration_sec,total_utterances,fragmentation_ratio,speech_ratio,avg_utterance_duration,num_short_pauses,num_long_pauses,avg_pause_duration,snr_db,mean_rms,std_rms,rms_dynamic_range,energy_burst_ratio,chaos_ratio,mean_spectral_bandwidth,mean_spectral_rolloff,mean_spectral_contrast,mean_spectral_flatness,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mean_zcr,std_zcr,mean_pitch_hz,std_pitch_hz,max_pitch_hz
subject01,1814.8053125,528,0.5132575757575758,0.5388166464825684,1.8519835464015155,487,40,1.5666565464895637,16.532351517201306,0.0752715244889259,0.0564942769706249,0.1683914810419082,0.020013048154744,0.1500035265904923,1904.037886689058,3944.512281134837,17.653883675268112,0.0528538972139358,-145.5505828857422,54.11699295043945,91.00950622558594,30.197120666503903,-1.596671223640442,20.40053939819336,-6.405186653137207,12.311467170715332,-8.65770149230957,13.379830360412598,0.1380409139962398,0.0824750576771097,215.78393223082705,120.0731213904231,402.04890533763177
subject02,2455.936,912,0.5285087719298246,0.6460494084536403,1.7397543859649125,847,64,0.952443468715697,16.248569896496655,0.0734818279743194,0.0550091639161109,0.1631710976362228,0.0200002605897145,0.1500104237243967,1873.997606331888,3733.475965484892,17.65183987683897,0.0459244847297668,-152.927490234375,50.30426406860352,96.26223754882812,27.5214900970459,-0.4859399497509002,19.71595001220703,-6.405385971069336,11.615517616271973,-7.197693824768066,11.743501663208008,0.1258255909686119,0.0671663911420315,223.48274511444976,124.79168427305392,418.33489974107584
subject03,2171.1573125,824,0.5388349514563107,0.627657565232275,1.653814699635922,750,73,0.9805637910085054,15.33457915629311,0.0690335407853126,0.0520589910447597,0.155180424451828,0.0200002947722147,0.1500117910623747,1972.945777740669,4180.572046935106,17.18254966140995,0.0590583942830562,-144.36204528808594,54.3448600769043,88.8315200805664,30.16707992553711,4.068451404571533,21.47869682312012,-1.92245090007782,13.069560050964355,-5.32924222946167,13.59158706665039,0.1394579366382518,0.0840307991411258,188.68025578786205,122.96526736079922,407.5618911285427
subject04,2244.224,446,0.6457399103139013,0.2818720412935608,1.4183497757847534,381,64,3.348683146067416,11.711226779950843,0.0521127097308635,0.0375450029969215,0.1033414751291275,0.0200048479317867,0.1500028517652427,1983.85078057828,4166.326836154164,16.655925005072934,0.0667787864804267,-154.7996063232422,46.60516357421875,90.43737030029295,29.136144638061523,3.810763120651245,18.41926002502441,0.3840551674365997,11.282544136047363,0.3107368350028991,10.273306846618652,0.1413930022911824,0.0887786369648732,154.21340350916972,104.84174777227994,345.3974933513731
subject05,2918.912,754,0.5490716180371353,0.468500592001403,1.813676392572944,648,105,1.8729189907038517,10.977704376970983,0.0491347163915634,0.0323790498077869,0.0891199856996536,0.0200072354933839,0.1500065777933696,2002.9437157156185,4185.129793514367,16.661762863852296,0.0596183165907859,-158.41099548339844,43.91737747192383,92.63645935058594,24.885303497314453,5.61467170715332,17.470443725585938,-1.3470709323883057,10.88462257385254,0.163220539689064,9.813923835754396,0.1329940992787117,0.0693737133958116,157.70087489266683,103.67482178857648,345.61789990176857
subject06,2383.872,723,0.6196403872752421,0.4632824245597082,1.5275325034578149,610,112,1.7711800554016623,16.254969362650428,0.0585574582219123,0.0524901635944843,0.1548483967781067,0.0200008054015597,0.1500080541237113,1986.0027148104848,4177.978119085332,16.93536307256194,0.0612705945968627,-161.15184020996094,51.5095329284668,91.00896453857422,25.67119407653809,3.147338628768921,17.749414443969727,-4.524592876434326,11.41272258758545,-5.1475090980529785,12.336461067199709,0.1349981283327684,0.0685587841982182,173.7587017706905,113.71766215825532,372.43262594219976
subject07,2429.4186875,617,0.4521880064829822,0.5840261323831611,2.299585089141005,553,63,1.6335584415584414,17.08622922609947,0.0755741149187088,0.0596762262284755,0.1760193109512329,0.0200079030558482,0.1500019757899867,1899.908200950193,3887.041766826923,17.280388598509923,0.0487809032201767,-149.8904571533203,51.305137634277344,95.16012573242188,25.01449203491211,0.6190540790557861,23.611238479614254,-5.425838947296143,12.379509925842283,-7.034183025360107,13.28326416015625,0.1285213426242261,0.0619254936648444,211.7957141511127,133.53195123573624,424.3305935067731
subject08,1786.7733125,321,0.6448598130841121,0.2510156139350776,1.397221183800623,237,83,4.0375,9.600725627452892,0.0399063900113105,0.0231383945792913,0.0645259618759155,0.0200046564106237,0.1500107457554266,1965.3301351772168,3960.654589474721,16.449779441703974,0.0609239414334297,-171.43333435058594,39.54502487182617,98.7293701171875,25.52483940124512,5.265716552734375,15.63046932220459,-3.3605525493621826,9.363560676574709,-1.0179203748703003,8.347552299499512,0.1301827228417089,0.0712061052331313,131.3052531924169,93.46458088460292,317.4360865421154
subject09,2965.4613125,675,0.6325925925925926,0.3333053093067457,1.4643022222222222,556,118,2.9274896142433238,14.492656366142851,0.0563113763928413,0.0487073250114917,0.1425367444753646,0.0200062587001327,0.1500053954893709,1917.107585520759,3856.71648560499,16.889010835184866,0.0537084080278873,-159.28639221191406,51.10580062866211,98.52622985839844,25.27065086364746,1.5404590368270874,19.880027770996094,-3.784891128540039,11.62391471862793,-3.4180474281311035,11.838865280151367,0.1289508202657115,0.0671538529155914,145.13879168553152,103.37159270303589,351.05007615945925
subject10,2796.288,511,0.6046966731898239,0.2849849514785315,1.5594911937377691,395,115,3.663043137254903,13.18934961376142,0.0455048754811286,0.037387978285551,0.1061997860670089,0.0200034330834811,0.1500045774970246,1951.1636111957616,3989.89868827602,16.7074907560122,0.0605957880616188,-171.91358947753906,47.28775405883789,95.2919921875,24.554553985595703,1.916632890701294,17.65480613708496,-2.2206997871398926,11.40640354156494,-2.2905893325805664,11.122878074645996,0.1335483834557561,0.0695927570829463,146.9504844139418,95.0179486943023,328.1558302347702
subject11,2484.9706875,609,0.5730706075533661,0.4111742666179839,1.67776026272578,508,100,2.3650526315789477,14.596665319681744,0.0548316203057765,0.0426871106028556,0.1244808584451675,0.020011332028433,0.1500096581031485,2009.627870874508,4367.5094326259405,16.723164426510778,0.0748624801635742,-153.58975219726562,53.71652603149414,84.64336395263672,31.196372985839844,2.121747732162476,22.441823959350582,-1.2513352632522583,13.234097480773926,-2.7163445949554443,11.942022323608398,0.1587029128262787,0.0978959530511489,173.329854660085,119.62159963849015,391.4179862483696
subject12,2714.7093125,834,0.5431654676258992,0.5592581516957532,1.8204116456834532,765,68,1.4356638655462184,17.133939956091513,0.0791690796613693,0.0608325637876987,0.1819300353527069,0.020003536276301,0.1499988212273381,1935.380987960572,4189.790936081806,17.256683214916027,0.0638316571712493,-134.69866943359375,55.41377258300781,83.65806579589844,29.80954360961914,-2.904973030090332,24.14201545715332,-3.0831284523010254,14.596821784973145,-8.229887008666992,13.576869010925291,0.150937182287676,0.0861825235977392,213.7234269712858,129.25098369060794,418.9368664045113
subject13,2529.024,708,0.4717514124293785,0.5558950804737323,1.9856949152542367,638,69,1.5806902404526164,15.579717660705777,0.0657227039337158,0.0514541715383529,0.1530590653419494,0.0200043020004302,0.1500025306205081,1933.9656904814065,4109.757059551073,17.071493295226592,0.0589418672025203,-142.41346740722656,54.6717414855957,87.93994140625,26.44872093200684,-4.161333084106445,23.645004272460938,-2.815377712249756,14.433652877807615,-5.182114124298096,12.360615730285645,0.1456287753711266,0.0711203672602168,194.2966610930434,121.876114064326,405.0212204410018
subject14,2436.416,932,0.5858369098712446,0.6362074456907189,1.6631609442060085,856,75,0.95196992481203,14.993918290339352,0.0643512532114982,0.0499508678913116,0.1491716653108596,0.0200028894521861,0.1500039402138222,1943.4663667155123,4103.363892847293,16.819787474668153,0.0655014812946319,-143.30892944335938,52.2281494140625,89.12602233886719,28.369598388671875,-2.223248243331909,22.71152687072754,-2.2539963722229004,13.60301399230957,-5.417943477630615,11.855164527893066,0.1450861882235943,0.080327951385068,182.95533164317135,111.0455960745088,387.1648008848901
subject15,2369.3653125,272,0.6654411764705882,0.1471448907269339,1.281764705882353,202,69,6.780442804428044,11.722808020049698,0.0437588728964328,0.0338670350611209,0.0956481173634529,0.0200018907931877,0.1500094540936225,1989.9458699333625,4123.976523776724,16.340059563501374,0.0676037818193435,-167.50234985351562,44.11884689331055,94.95362091064452,25.184532165527344,3.441319227218628,17.180400848388672,-4.436666965484619,10.272714614868164,-1.6162080764770508,8.934571266174316,0.1349465138711627,0.0732983603492593,142.68341362388102,98.94358627357887,348.2445275701431
subject16,2391.872,696,0.5014367816091954,0.5672552711850803,1.9494281609195403,640,55,1.4881093525179854,15.463927515875636,0.064794048666954,0.0498722530901432,0.1476054489612579,0.0200008027078009,0.1500013378642335,1905.5270382406584,3955.407491270553,17.189178887655004,0.0530575327575206,-151.71644592285156,53.703643798828125,91.31631469726562,27.7813777923584,-1.0479393005371094,23.131113052368164,-0.2196520268917083,13.628254890441896,-4.952781677246094,13.084521293640137,0.1348325499790125,0.0739689349361818,194.15435290289,115.20415301115288,391.8613016923345
subject17,1719.7013125,274,0.6167883211678832,0.2366876137393191,1.4855182481751823,228,45,4.795794871794873,15.182487641082492,0.0551256909966468,0.0444672144949436,0.1301312148571014,0.0200033493980387,0.15,1961.892390207331,4217.071230531624,16.739861743719878,0.0736058503389358,-155.3323211669922,57.35539245605469,86.04530334472656,29.802928924560547,-2.938432216644287,20.800464630126957,-1.8386372327804563,12.392666816711426,-2.8627490997314453,12.405779838562012,0.1509073267064485,0.0825717553325647,168.82548051015232,114.63133256336005,383.04031164113337
subject18,1853.3333125,628,0.5159235668789809,0.6674284135277467,1.9696931727707008,576,51,0.982781499202552,17.02815161776234,0.0717490091919899,0.0536070317029953,0.1602609157562255,0.0200113956178669,0.15001035983148,1963.258596573813,4265.80926152943,17.256375147729354,0.0654871985316276,-145.2374725341797,55.55978393554688,82.82794952392578,28.29645729064941,-2.3038575649261475,21.698638916015625,-2.0483179092407227,14.43922996520996,-4.299385070800781,13.543643951416016,0.1468111576291287,0.0792768180816781,211.3179303514463,122.4176429600394,400.596775596204
subject19,2271.7653125,256,0.57421875,0.1811173001612595,1.60725,223,32,7.156690196078432,10.60836202610806,0.0406662300229072,0.0276028588414192,0.0772558450698852,0.0200019720254109,0.1500028172188415,1956.7905064370536,3988.555429760681,16.489444992556834,0.0622768551111221,-171.93426513671875,42.52455520629883,97.02298736572266,24.7394962310791,3.7241060733795166,17.524627685546875,-3.58606219291687,10.722417831420898,-3.94185209274292,9.180416107177734,0.1327748780029369,0.0705592647912886,143.23527570793723,93.2104956154607,331.97302175851576
subject20,1991.488,395,0.5417721518987342,0.3540287463444422,1.7849215189873415,352,42,2.3714314720812184,13.98764202819035,0.0589976646006107,0.0432963445782661,0.1279202252626419,0.0200048204386599,0.1499983931612944,1974.793926558313,4220.660098818992,16.908560351359075,0.0649966225028038,-147.12989807128906,48.16801071166992,88.25760650634766,25.21076011657715,-0.5839381814002991,21.755041122436523,-3.2845053672790527,13.196229934692385,-5.4637627601623535,11.96250057220459,0.1462468836617257,0.0718003389478858,191.6433597529069,116.32878926009664,383.8997229590933
subject21,2376.3626875,846,0.6725768321513003,0.4800243691757594,1.3483593380614658,733,112,1.461041420118343,15.568457118748675,0.0562239214777946,0.0493795350193977,0.1450298875570297,0.02001023403625,0.1499979800972246,1910.616550033723,3856.8498399248606,17.25886727225431,0.0455024726688861,-166.5861358642578,51.54541397094727,96.7831802368164,22.649978637695312,0.7619388103485107,19.22845268249512,-2.8957951068878174,12.012149810791016,-5.212736129760742,13.002264976501465,0.1206389229392219,0.0504823181033681,168.49508326346933,102.18693672081528,358.6824427526733
